datetime,T2M,T2MDEW,T2MWET,RH2M,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,ALLSKY_KT,PRECTOTCORR,PS,CLOUD_AMT,TOA_SW_DWN
2024-01-01 00:00:00,22.37,19.83,21.1,85.84,1.39,170.9,2.07,171.4,0.0,369.62,-999.0,0.0,99.02,1.17,0.0
2024-01-01 01:00:00,22.4,19.93,21.17,86.27,0.76,196.1,1.09,197.1,0.0,391.12,-999.0,0.0,98.96,42.17,0.0
2024-01-01 02:00:00,22.05,19.92,20.98,88.03,0.68,274.2,0.99,273.5,0.0,365.98,-999.0,0.0,98.92,1.17,0.0
2024-01-01 03:00:00,21.05,19.74,20.39,92.46,1.29,308.7,1.98,308.0,0.0,362.2,-999.0,0.0,98.92,1.17,0.0
2024-01-01 04:00:00,20.19,19.38,19.79,95.35,1.77,320.7,2.95,320.1,0.0,360.38,-999.0,0.0,98.96,2.63,0.0
2024-01-01 05:00:00,19.54,18.84,19.19,95.95,2.04,329.3,3.65,328.4,0.0,356.27,-999.0,0.0,99.01,0.88,0.0
2024-01-01 06:00:00,20.21,18.97,19.59,92.58,2.18,338.5,4.02,338.4,44.28,363.58,0.29,0.0,99.08,4.2,155.1
2024-01-01 07:00:00,22.22,18.81,20.51,81.03,2.8,349.3,3.38,348.8,213.15,371.27,0.45,0.0,99.17,10.02,473.55
2024-01-01 08:00:00,24.19,19.46,21.83,74.99,2.42,349.3,2.72,347.0,412.8,381.73,0.55,0.0,99.22,13.79,755.08
2024-01-01 09:00:00,26.78,19.82,23.3,65.76,2.21,343.2,2.55,342.6,609.3,389.27,0.62,0.0,99.21,11.39,980.3
2024-01-01 10:00:00,28.58,19.89,24.24,59.49,2.03,350.4,2.34,351.1,752.95,395.12,0.66,0.0,99.17,9.39,1133.85
2024-01-01 11:00:00,29.84,19.86,24.85,55.16,1.87,4.9,2.18,6.0,782.8,400.48,0.65,0.0,99.08,2.06,1205.3
2024-01-01 12:00:00,30.75,19.87,25.31,52.37,1.75,24.7,2.06,25.3,770.92,403.9,0.65,0.0,98.98,0.53,1189.78
2024-01-01 13:00:00,31.11,19.98,25.54,51.64,1.68,46.9,2.02,46.8,676.88,407.6,0.62,0.0,98.89,2.94,1088.32
2024-01-01 14:00:00,31.06,20.06,25.56,52.04,1.65,67.6,1.99,66.7,522.85,409.25,0.58,0.0,98.84,5.81,907.85
2024-01-01 15:00:00,30.9,20.48,25.69,53.94,1.34,85.3,1.88,83.3,322.65,411.73,0.49,0.0,98.83,9.89,660.65
2024-01-01 16:00:00,30.09,20.29,25.19,56.06,1.26,100.5,1.75,98.9,134.48,408.42,0.37,0.0,98.89,8.54,363.52
2024-01-01 17:00:00,28.06,21.18,24.62,66.5,1.13,134.3,1.7,134.0,12.9,404.33,0.21,0.0,98.97,12.61,62.3
2024-01-01 18:00:00,27.0,20.26,23.63,66.65,1.46,162.8,2.15,162.7,0.0,400.52,-999.0,0.0,99.06,14.95,0.0
2024-01-01 19:00:00,25.83,20.57,23.2,72.78,1.76,176.7,2.69,177.0,0.0,397.6,-999.0,0.0,99.13,20.68,0.0
2024-01-01 20:00:00,24.86,20.73,22.79,77.88,1.95,185.6,3.09,185.8,0.0,390.15,-999.0,0.0,99.18,4.39,0.0
2024-01-01 21:00:00,24.2,20.76,22.48,81.18,1.96,192.4,3.12,192.6,0.0,387.35,-999.0,0.0,99.18,2.63,0.0
2024-01-01 22:00:00,23.74,20.71,22.23,83.17,1.84,197.7,2.91,198.2,0.0,385.23,-999.0,0.0,99.15,0.88,0.0
2024-01-01 23:00:00,23.36,20.69,22.02,85.01,1.7,202.5,2.66,202.8,0.0,388.1,-999.0,0.0,99.12,12.01,0.0
2024-01-02 00:00:00,23.04,20.77,21.9,87.12,1.56,208.4,2.43,208.6,0.0,394.65,-999.0,0.0,99.07,23.16,0.0
